COVERAGE,YEAR,MONTH,DATE,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Antimony,Tons,0,0,0,Final Figures.
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Arsenic,Tons,216,1564.834,505.263,Final Figures.
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Bismuth,Tons,128,9200.966,135.689,Final Figures.
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Tin,Tons,1,24.123,48,Final Figures.
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Cadmium,Tons,133,669.436,104.516,Final Figures.
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Molybdenum,Tons,589,27671.555,90.476,Final Figures.
National,2001,August,01/08/2001,Steel Metals and Minerals,Non-Coking Coal,Tons,586192,177205.968,67.62,Final Figures.
National,2001,August,01/08/2001,Steel Metals and Minerals,Coke,Tons,168538,245844.695,130.701,Final Figures.
National,2001,August,01/08/2001,Steel Metals and Minerals,Iron Pellets,Tons,458012,102090.97,71.139,Final Figures.
National,2001,August,01/08/2001,Steel Metals and Minerals,Manganese,Tons,11860,10964.619,83.763,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Sulfur,Tons,78527,42676.198,90.512,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Graphite,Tons,524,1088.173,86.983,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Barite,Tons,9471,6700.122,81.142,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Dolomite,Tons,54910,10927.09,53.397,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Fluorite,Tons,68555,69939.469,77.782,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Kaolin,Tons,7818,5390.931,110.252,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Silica Sand,Tons,137392,27939.484,59.326,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Gypsum,Tons,232584,27461.201,54.351,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Phosphate Rock,Tons,85725,29735.728,106.151,Final Figures.
National,2001,August,01/08/2001,Non-Metallic Minerals,Wollastonite,Tons,3576,6977.262,91.606,Final Figures.
